latitude,longitude,serial number,COMUNE
45.825399,8.763514,IT*ENX*E20XP22T3KK4AZ00082*2,Casciago
45.704145,8.901292,IT*BEC*EE000166*1,Tradate
45.623912,9.037036,IT*BEC*EE000013*1,Saronno
45.816889,8.805581,IT*EWI*EEW024501*1,Varese
45.566572,8.987408,IT*BEC*EH001678*1,Nerviano
45.839251,8.908614,IT*ENX*E24BZ4308A*1,Cantello
45.599272,8.898828,IT*ENX*E24BZ1306A*2,Legnano
46.044293,8.734871,IT*ENX*E19XP22T3KK4AH00103*1,Maccagno con Pino e Veddasca
45.709482,8.633396,IT*ENX*E19XP22T3KK4AD00366*1,Castelletto sopra Ticino
45.772914,8.885847,IT*ENX*E18XM32T7CB4W000006*3,Vedano Olona
45.704127,8.902857,IT*BEC*EE000278*2,Tradate
45.81636,8.77995,IT*ENX*E19XP22T5HK4AH00133*1,Varese
45.722971,8.810344,IT*ENX*E22XP22T5HKJAL00002*1,Solbiate Arno
45.5941,9.0152,IT*ENX*E18XP22T3BB4U000103*1,Origgio
45.633297,8.852855,IT*A2A*ESN2000278*4,Busto Arsizio
45.633297,8.852855,IT*A2A*ESN2000278*1,Busto Arsizio
45.998897,8.742586,IT*BEC*EE004697*1,Luino
45.544068,8.975709,IT*BEC*EH001676*2,Nerviano
45.730086,8.731789,IT*BEC*EH000785*2,Vergiate
45.843649,8.712511,IT*BEC*EE002523*2,Gavirate
45.6374,9.0018,IT*ENX*E21XP22T3KK4AK00164*1,Gerenzano
45.8005,8.8788,IT*ENX*E18XP22T5AB5U000487*2,Malnate
45.64904,8.888007,IT*BEC*EE004126*2,Solbiate Olona
45.801628,8.835267,IT*BEC*EW000024*1,Varese
45.747501,8.754252,IT*BEC*EE006938*1,Mornago
45.739835,8.859269,IT*ENX*E22XP22T3QQ1AN00364*1,Gornate Olona
45.743248,8.983145,IT*ENX*E18XP22T3KK4AH00152*1,Appiano Gentile
45.549198,8.722868,IT*ENX*E18XP22T3BB5U000307*2,Nosate
45.743248,8.983145,IT*ENX*E18XP22T3KK4AH00152*2,Appiano Gentile
45.5922,9.0085,IT*ENX*E18XP22T5LB4U000142*2,Origgio
45.6449,8.9973,IT*ENX*E18XP22T3KK4AH00219*2,Gerenzano
45.703176,8.919212,IT*BEC*EE002329*2,Tradate
45.711363,8.894682,IT*ENX*E24BZ0928A*1,Tradate
45.812505,8.920981,IT*BEC*EE005893*1,Solbiate con Cagno
45.625105,9.027547,IT*BEC*EE000332*1,Saronno
45.754759,8.560552,IT*ENX*EC6E06BCC22AKJLMLBZ*2,Arona
45.589986,9.067076,IT*A2A*E12229026200001*1,Cesate
45.589986,9.067076,IT*A2A*E12229026200001*3,Cesate
45.59223,8.911074,IT*ENX*E20XP22T3KK4AL01018*2,Legnano
45.589986,9.067076,IT*A2A*E12229026200001*2,Cesate
45.709482,8.633396,IT*ENX*E19XP22T3KK4AD00366*2,Castelletto sopra Ticino
45.592902,8.647242,IT*ENX*E20XM32T7KK3AR00059*3,Oleggio
45.753499,8.543163,IT*BEC*EH000172*1,Arona
45.705707,8.805515,IT*A2C*E12248019070013*1,Jerago con Orago
45.839556,8.76626,IT*A2C*EEC05A0092200008*1,Luvinate
45.705707,8.805515,IT*A2C*E12248019070013*2,Jerago con Orago
45.615626,9.0806,IT*BEC*EE002163*1,Solaro
45.720303,8.613039,IT*BEC*EE002599*2,Castelletto sopra Ticino
45.781889,8.752306,IT*ENX*E18XP22T5HK4AH00204*2,Bodio Lomnago
45.760001,8.55859,IT*ENX*E18DP22T3KK4U000127*1,Arona
45.61109,9.035546,IT*ENX*ESN2403122405*2,Saronno
45.555905,8.772886,IT*BEC*EE001600*2,Castano Primo
45.615626,9.0806,IT*BEC*EE002163*2,Solaro
45.829108,8.6716,IT*ENX*E21XP22T3KK4AK372RJ*2,Bardello con Malgesso e Bregano
46.038067,8.707634,IT*BEC*EE005718*2,Cannobio
45.608716,8.896729,IT*ENX*E21XP22T3KKJAK00066*2,Castellanza
45.722962,8.810327,IT*ENX*E19XP22T3KK1AL00340*1,Solbiate Arno
45.814417,8.810149,IT*A2A*E12320009780026*2,Varese
45.700313,8.913709,IT*BEC*EH000246*1,Tradate
45.789577,8.93255,IT*BEC*EH000784*2,Solbiate con Cagno
45.615251,8.880374,IT*BEC*EH000359*2,Castellanza
45.907621,8.908572,IT*ENX*E20XP22T3KK1AL00409*1,Porto Ceresio
45.837034,8.841564,IT*ENX*E18XM32T7CB4W000007*2,Induno Olona
45.837034,8.841564,IT*ENX*E18XM32T7CB4W000007*1,Induno Olona
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*1,Bodio Lomnago
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*2,Bodio Lomnago
45.601441,8.63799,IT*ENX*E19XP22T5HK1AL00035*1,Oleggio
45.859261,8.688314,IT*BEC*EE002530*1,Cocquio-Trevisago
45.7815,8.69531,IT*BEC*EE006771*2,Ternate
45.789395,8.540132,IT*BEC*EH000347*1,Meina
45.789395,8.540132,IT*BEC*EH000347*3,Meina
45.625254,8.876394,IT*ENX*E18XP22T5LB4U000086*2,Olgiate Olona
45.59075,8.899909,IT*BEC*EH000085*1,Legnano
45.95105,8.54835,IT*ENX*E20XP22T3KK4AL00634*2,Verbania
45.613326,8.908999,IT*ENX*E18XP22T3KK4AH00300*2,Castellanza
45.589453,8.851466,IT*A2A*EI2223000191*3,Busto Arsizio
45.61357,8.747961,IT*ENX*E23BZ9664A*2,Ferno
45.598462,8.795926,IT*ENX*E21XP22T5HK4AK00012*2,Vanzaghello
45.620762,8.851597,IT*A2A*ESN1900442*3,Busto Arsizio
45.610137,8.875514,IT*BEC*EE000006*2,Busto Arsizio
45.815193,8.81162,IT*BEC*EE001021*1,Varese
45.617332,9.079131,IT*BEC*EE004715*1,Solaro
45.793889,8.754806,IT*ENX*E19XM32T7CB3W000189*3,Bodio Lomnago
45.668269,8.704963,IT*ENX*E19XP22T3KK1AT00092*1,Somma Lombardo
45.820781,8.821616,IT*ENX*E19XP22T3KK4AH00439*1,Varese
45.6275735,8.7008652,IT*EMO*E2055*1,Vizzola Ticino
45.6275735,8.7008652,IT*EMO*E2057*1,Vizzola Ticino
45.704145,8.901292,IT*BEC*EE000166*2,Tradate
45.780575,8.918131,IT*ENX*E23BZ9657A*1,Binago
45.717157,8.861287,IT*BEC*EE006574*2,Castelseprio
45.795706,8.879038,IT*ENX*E17ZP22T5AB1U000067*1,Malnate
45.6275735,8.7008652,IT*EMO*E2052*1,Vizzola Ticino
45.943437,8.471276,IT*ENX*E20XM32T8KK4AR00043*3,Verbania
45.578964,8.788021,IT*ENX*E20XP22T5HK4AL00165*2,Vanzaghello
45.780575,8.918131,IT*ENX*E23BZ9657A*2,Binago
45.929706,8.569061,IT*ENX*E20XP22T3KK4AL00609*1,Verbania
45.82913,8.67171,IT*ENX*ESN2403141139*1,Bardello con Malgesso e Bregano
45.730086,8.731789,IT*BEC*EH000785*3,Vergiate
45.562977,9.029106,IT*ENX*E21XP22T3KKJAK00704*2,Lainate
45.781889,8.752306,IT*ENX*E18XP22T5HK4AH00204*1,Bodio Lomnago
45.815593,8.832649,IT*ENX*E21XK11M1J03BF00236*1,Varese
45.610191,8.906986,IT*BEC*EE000268*1,Castellanza
45.795464,8.842593,IT*ENX*E20XM32T7KK4AR00128*3,Varese
45.821789,8.712112,IT*BEC*EE003696*2,Biandronno
45.943437,8.471276,IT*ENX*E20XM32T8KK4AR00043*1,Verbania
45.564703,9.046095,IT*EWI*EEW011003*2,Lainate
45.598462,8.795926,IT*ENX*E21XP22T5HK4AK00012*1,Vanzaghello
45.698451,8.658172,IT*BEC*EE006203*2,Golasecca
45.599272,8.898828,IT*ENX*E24BZ1306A*1,Legnano
45.815175,8.811671,IT*BEC*EE001019*1,Varese
45.765851,8.553434,IT*DUF*E000182*1,Arona
45.815622,8.832642,IT*ENX*E21XK11M1J03BF00235*1,Varese
45.884153,8.541274,IT*ENX*E23BZ6102A*1,Stresa
45.703227,8.874031,IT*ENX*E22XP22T5PQ1AN00025*2,Lonate Ceppino
45.721208,8.890474,IT*BEC*EE002330*1,Tradate
45.943437,8.471276,IT*ENX*E20XM32T8KK4AR00043*2,Verbania
45.703227,8.874031,IT*ENX*E22XP22T5PQ1AN00025*1,Lonate Ceppino
45.60458,8.845904,IT*ENX*E19XP22T3KK4AH00117*1,Busto Arsizio
45.7537,8.8685,IT*ENX*E18DP22T3KK4U000428*1,Castiglione Olona
45.821067,8.829039,IT*A2C*E12225019060027*2,Varese
45.884153,8.541274,IT*ENX*E23BZ6102A*2,Stresa
45.720807,8.898972,IT*ENX*E23BZ6085A*2,Tradate
45.562977,9.029106,IT*ENX*E21XP22T3KKJAK00704*1,Lainate
45.73679,8.897091,IT*ENX*E23BZ4021A*2,Venegono Inferiore
45.552617,8.76698,IT*ENX*E20XP22T5HK1AL00017*2,Castano Primo
45.6906128,8.8210787,IT*IPE*E170002652*1,Oggiona con Santo Stefano
45.61311,9.00733,IT*BEC*EE007607*2,Uboldo
45.60458,8.845904,IT*ENX*E19XP22T3KK4AH00117*2,Busto Arsizio
