latitude,longitude,serial number,COMUNE
45.589453,8.851466,IT*A2A*EI2223000191*1,Busto Arsizio
45.589453,8.851466,IT*A2A*EI2223000191*2,Busto Arsizio
45.59953,8.871742,IT*BEC*EE000360*1,Busto Arsizio
45.610137,8.875514,IT*BEC*EE000006*1,Busto Arsizio
45.606558,8.851968,IT*BEC*EE000024*2,Busto Arsizio
45.606558,8.851968,IT*BEC*EE000024*1,Busto Arsizio
45.606492,8.852083,IT*BEC*EE000030*1,Busto Arsizio
45.603669,8.818456,IT*BEC*EE003333*1,Busto Arsizio
45.605325,8.87373,IT*ASM*EHYC15019BZ00168*1,Busto Arsizio
45.634587,8.835508,IT*GES*EACI,Busto Arsizio
45.633222,8.833972,IT*GES*EXRTLI,Busto Arsizio
45.633222,8.833972,IT*GES*EMK9MU,Busto Arsizio
45.633222,8.833972,IT*GES*EQZ9Q5,Busto Arsizio
45.633222,8.833972,IT*GES*EP7RQY,Busto Arsizio
45.633026,8.833863,IT*GES*EGK586,Busto Arsizio
45.633026,8.833863,IT*GES*E5TSK0,Busto Arsizio
45.61454,8.855924,IT*GES*EDZJ7W,Busto Arsizio
45.61454,8.855924,IT*GES*EW8MQI,Busto Arsizio
45.61454,8.855924,IT*GES*E3L8IC,Busto Arsizio
45.634534,8.834985,IT*GES*EFDX,Busto Arsizio
45.634587,8.835508,IT*GES*EACS,Busto Arsizio
45.634534,8.834985,IT*GES*EFDS,Busto Arsizio
45.634499,8.835468,IT*GES*EAA2,Busto Arsizio
45.634499,8.835468,IT*GES*EA9C,Busto Arsizio
45.60997,8.83928,IT*PWY*EC0034*01*02,Busto Arsizio
45.60997,8.83928,IT*PWY*EC0034*01*01,Busto Arsizio
45.60366,8.84817,IT*PWY*EC0006*01*02,Busto Arsizio
45.60366,8.84817,IT*PWY*EC0006*01*01,Busto Arsizio
45.612775,8.855189,IT*A2A*E12232026350003*3,Busto Arsizio
45.620762,8.851597,IT*A2A*ESN1900442*4,Busto Arsizio
45.6091603,8.8338099,IT*REVETACR2245022S0224*1,Busto Arsizio
45.612775,8.855189,IT*A2A*E12232026350003*1,Busto Arsizio
45.633297,8.852855,IT*A2A*ESN2000278*2,Busto Arsizio
45.618753,8.854732,IT*A2A*E12242043700002*1,Busto Arsizio
45.612775,8.855189,IT*A2A*E12232026350003*2,Busto Arsizio
45.607596,8.847401,IT*A2A*E12242043700001*2,Busto Arsizio
45.607596,8.847401,IT*A2A*E12242043700001*1,Busto Arsizio
45.618753,8.854732,IT*A2A*E12242043700002*2,Busto Arsizio
45.620762,8.851597,IT*A2A*ESN1900442*2,Busto Arsizio
45.620762,8.851597,IT*A2A*ESN1900442*1,Busto Arsizio
45.967287,8.839115,IT*REVETACR2243022S5158*1,Cadegliano-Viconago
45.803849,8.630196,IT*ENX*E19XP22T5HK1AL00103*2,Cadrezzate con Osmate
45.803849,8.630196,IT*ENX*E19XP22T5HK1AL00103*1,Cadrezzate con Osmate
45.803095,8.649567,IT*DUF*E000109*2,Cadrezzate con Osmate
45.803095,8.649567,IT*DUF*E000109*1,Cadrezzate con Osmate
45.839251,8.908614,IT*ENX*E24BZ4308A*2,Cantello
45.839251,8.908614,IT*ENX*E24BZ4308A*1,Cantello
45.822596,8.896161,IT*ENX*E18XP22T3BB5U000265*2,Cantello
45.824776,8.902851,IT*ENX*E18XP22T3BB5U000263*1,Cantello
45.822596,8.896161,IT*ENX*E18XP22T3BB5U000265*1,Cantello
45.824776,8.902851,IT*ENX*E18XP22T3BB5U000263*2,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*5,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*7,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*6,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*1,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*4,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*2,Cantello
45.837686,8.909046,IT*A2C*E12117011840001*3,Cantello
45.833762,8.908435,IT*PWY*EC0029*01*02,Cantello
45.833762,8.908435,IT*PWY*EC0029*01*01,Cantello
45.643652,8.769692,IT*GES*ECE6,Cardano al Campo
45.643652,8.769692,IT*GES*EBQ6,Cardano al Campo
45.652946,8.770247,IT*GES*EB92,Cardano al Campo
45.652946,8.770247,IT*GES*EB32,Cardano al Campo
45.643281,8.760304,IT*PWY*EL0036*01*02*X,Cardano al Campo
45.643281,8.760304,IT*PWY*EL0036*01*01*X,Cardano al Campo
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*2,Caronno Pertusella
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*3,Caronno Pertusella
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*1,Caronno Pertusella
45.60126,9.04342,IT*ENX*E19XP22T3KK4AZ00486*2,Caronno Pertusella
45.60126,9.04342,IT*ENX*E19XP22T3KK4AZ00486*1,Caronno Pertusella
45.591525,9.048308,IT*GES*EWWZ,Caronno Pertusella
